"file_name";"case_id";"text"
"2016-OJS003-002872-it.pdf";"20162872";"Data: 25.2.2016 - 9:00|Luogo:|Provincia di Varese — Piazza Libertà 1 — Varese.|Persone ammesse ad assistere all'apertura delle offerte: sì|Informazioni complementari sulle persone ammesse e la procedura di apertura: Un rappresentante per ogni |impresa offerente munito di relativa procura."
"2016-OJS004-004078-it.pdf";"20164078";""
"2016-OJS008-009964-it.pdf";"20169964";"Data: 25.2.2016 - 9:30|Luogo:|Comune di Piacenza — Piazza Cavalli 2.|Persone ammesse ad assistere all'apertura delle offerte: sì|Informazioni complementari sulle persone ammesse e la procedura di apertura: Legali rappresentanti delle ditte |concorrenti o persone delegate."
"2016-OJS011-015326-it.pdf";"201615326";"Data: 11.3.2016 - 9:00|Luogo:|Settore Gare e Appalti, Via Marchetti 3 — Brescia.|Persone ammesse ad assistere all'apertura delle offerte: sì|Informazioni complementari sulle persone ammesse e la procedura di apertura: Seduta pubblica."
"2016-OJS012-017147-it.pdf";"201617147";"Data: 4.3.2016 - 10:00|Persone ammesse ad assistere all'apertura delle offerte: sì|Informazioni complementari sulle persone ammesse e la procedura di apertura: Seduta pubblica."
"2016-OJS022-035271-it.pdf";"201635271";"Data: 10.3.2016 - 10:00|Luogo:|Settore appalti e contratti — Corso Matteotti 3 — piano VI — Lecco.|Persone ammesse ad assistere all'apertura delle offerte: sì|Informazioni complementari sulle persone ammesse e la procedura di apertura: Legali rappresentanti/delegati |imprese partecipanti."
"2016-OJS022-035325-it.pdf";"201635325";"Data: 14.3.2016 - 9:00|Luogo:|Sala riunioni sita al primo piano dell'edificio «Teatro comunale di Pergine» — Piazza Garibaldi 5/h.|Persone ammesse ad assistere all'apertura delle offerte: sì|Informazioni complementari sulle persone ammesse e la procedura di apertura: Legali rappresentanti delle |imprese e persone munite di delega."
"2016-OJS023-036422-it.pdf";"201636422";"Persone ammesse ad assistere all'apertura delle offerte: sì|Informazioni complementari sulle persone ammesse e la procedura di apertura: Titolare o legale rappresentante |del soggetto concorrente, ovvero persone munite di specifica delega."
"2016-OJS025-040488-it.pdf";"201640488";"Data: 14.3.2016 - 15:00|Luogo:|Sede Municipale Piazza G. Puchetti 1 — Selvazzano Dentro (PD) — seduta pubblica secondo le modalità |previste nel disciplinare di gara. Le altre sedute pubbliche verranno comunicate tramite PEC o Fax all'indirizzo/|numero indicati dai concorrenti e pubblicate nel sito internet dell'Ente.|Persone ammesse ad assistere all'apertura delle offerte: sì|Informazioni complementari sulle persone ammesse e la procedura di apertura: Il Titolare o Rappresentante |Legale o soggetto munito di apposita delega conferita dal legale rappresentante."
"2016-OJS029-047040-it.pdf";"201647040";"Data: 22.3.2016 - 9:30|Persone ammesse ad assistere all'apertura delle offerte: sì|Informazioni complementari sulle persone ammesse e la procedura di apertura: Legali rappresentanti delle |compagnie partecipanti o loro delegati."
"2016-OJS032-051841-it.pdf";"201651841";"Data: 11.3.2016 - 10:00|Persone ammesse ad assistere all'apertura delle offerte: sì|Informazioni complementari sulle persone ammesse e la procedura di apertura: Seduta aperta al pubblico."
"2016-OJS033-053596-it.pdf";"201653596";"Data: 16.3.2016 - 10:00|Luogo:|presso una sala della Residenza Municipale sita in P.zza del Municipio 2, 44121 Ferrara.|Persone ammesse ad assistere all'apertura delle offerte: sì|Informazioni complementari sulle persone ammesse e la procedura di apertura: All'apertura dei plichi sono |ammessi a partecipare tutti i soggetti interessati, I legali rappresentanti degli offerenti o altri soggetti muniti di |delega o procura saranno autorizzati a richiedere la verbalizzazione in sede di gara di eventuali dichiarazioni."
