"file_name";"case_id";"text";"date"
"2017-OJS119-240234-it.pdf";"2017240234";"Data: 03/08/2017|Ora locale: 10:00|Luogo:|La gara si svolgerà in una sala della Residenza Municipale, a Palazzo dei Priori — C.so Vannucci 19 (Perugia).|Informazioni relative alle persone ammesse e alla procedura di apertura:|Ammessi legali rappresentanti e/o loro delegati.";"2017-08-03"
"2019-OJS117-287317-it.pdf";"2019287317";"Data: 25/07/2019|Ora locale: 09:00|Luogo:|Comune di Seravezza, procedura telematica Start";"2019-07-25"
"2019-OJS145-357447-it.pdf";"2019357447";"Data: 19/09/2019|Ora locale: 10:00|Luogo:|Piazza Liber Pradisus 10, torre B, piano 5°, Bologna.|Informazioni relative alle persone ammesse e alla procedura di apertura:|Sedute pubbliche attivate anche in m modalità virtuale. Vi potranno partecipare i legali rappresentanti/|procuratori delle imprese interessate oppure persone munite di specifica delega, presenziando alla seduta o |collegandosi da remoto al sistema. In assenza di tali titoli, la partecipazione è ammessa come semplice uditore.";"2019-09-19"
"2020-OJS109-264674-it.pdf";"2020264674";"Data: 20/07/2020|Ora locale: 10:00|Luogo:|Non è fissata alcuna data per le sedute pubbliche in quanto la trasparenza e la pubblicità delle stesse è |assicurata dall’effettuazione telematica della procedura, direttamente sulla piattaforma elettronica Sintel di |Regione Lombardia.|Informazioni relative alle persone ammesse e alla procedura di apertura:|La gestione telematica della procedura consente di tracciare ogni operazione di apertura dei file contenenti |le offerte pertanto non sono previste sedute pubbliche. Le buste digitali, amministrative ed economiche |saranno aperte, anche in forma di telelavoro e videoconferenza, in data/ora successiva a quella fissata per la |presentazione delle offerte.";"2020-07-20"
"2017-OJS147-305442-it.pdf";"2017305442";"Data: 5.9.2017 - 10:00|Luogo:|Piazza XX Settembre 20 Foggia|Persone ammesse ad assistere all'apertura delle offerte: sì|Informazioni complementari sulle persone ammesse e la procedura di apertura: Seduta aperta al pubblico.";"2017-09-05"
"2016-OJS075-131875-it.pdf";"2016131875";"Data: 16.5.2016 - 10:00|Luogo:|Sede del Centro Unico Appalti (C.U.A.) dell'Unione di Comuni Valdarno e Valdisieve — Via Tanzini 27– |Pontassieve (FI).|Persone ammesse ad assistere all'apertura delle offerte: sì|Informazioni complementari sulle persone ammesse e la procedura di apertura: Il titolare o legale |rappresentante del soggetto concorrente o persona munita di specifica delega può assistere, in qualità di |uditore, alle sedute pubbliche di gara.";"2016-05-16"
"2017-OJS149-309401-it.pdf";"2017309401";"Data: 19.9.2017 - 9:30|Luogo:|Provincia di Reggio Emilia — Corso Garibaldi 59 — 42121 Reggio Emilia (1° piano).|Persone ammesse ad assistere all'apertura delle offerte: sì|Informazioni complementari sulle persone ammesse e la procedura di apertura: Seduta pubblica di gara.";"2017-09-19"
"2020-OJS145-357108-it.pdf";"2020357108";"Data: 03/09/2020|Ora locale: 09:30|Luogo:|Prendendo atto di quanto disposto dal DPCM 9.3.2020 ed in considerazione che la procedura di gara telematica |è gestita con una tecnologia che consente di assicurare l’intangibilità del contenuto delle offerte, prima seduta di |gara è fissata il giorno 3.9.2020, alle ore 9:30 e si svolgerà in modalità riservata ed da remoto, alla presenza del |solo seggio di gara.|Informazioni relative alle persone ammesse e alla procedura di apertura:|La prima seduta di gara è fissata il giorno 3.9.2020, alle ore 9:30 e si svolgerà in modalità riservata ed da |remoto, alla presenza del solo seggio di gara.";"2020-09-03"
"2020-OJS113-274305-it.pdf";"2020274305";"Data: 10/07/2020|Ora locale: 09:30|Luogo:|Udine, via Lionello 1|Informazioni relative alle persone ammesse e alla procedura di apertura:|Procedura di gara gestita con sistemi telematici ai sensi dell'art 58 del D.Lgs. n. 50/2016.";"2020-07-10"
"2018-OJS063-140201-it.pdf";"2018140201";"Data: 03/05/2018|Ora locale: 09:30|Luogo:|Presso una sala della Provincia di Varese.";"2018-05-03"
