"file_name";"case_id";"text";"date"
"2017-OJS101-201528-it.pdf";"2017201528";"Data: 15/06/2017|Ora locale: 10:00";"2017-06-15"
"2019-OJS208-507628-it.pdf";"2019507628";"Data: 12/12/2019|Ora locale: 10:00|Luogo:|Presso la sede della Stazione unica appaltante della Provincia di Perugia, Via Palermo 21/C – piano terra, sala |riunioni.|Informazioni relative alle persone ammesse e alla procedura di apertura:|Vi potranno partecipare i legali rappresentanti/procuratori delle imprese interessate oppure persone munite di |specifica delega. In assenza di tali titoli, la partecipazione è ammessa come semplice uditore.";"-1"
"2020-OJS048-113675-it.pdf";"2020113675";"Data: 09/04/2020|Ora locale: 10:00";"-1"
"2018-OJS139-319030-it.pdf";"2018319030";"Data: 19.9.2018 - 10:00|Luogo:|Tarcento, piazza Roma 7.|Persone ammesse ad assistere all'apertura delle offerte: sì|Informazioni complementari sulle persone ammesse e la procedura di apertura: La procedura è di evidenza |pubblica.";"2018-09-19"
"2016-OJS115-204348-it.pdf";"2016204348";"Data: 19/07/2016|Ora locale: 09:00|Luogo:|Sede dell'Unione «Val d'Enza» in Via XXIV Maggio 47, Barco di Bibbiano (RE) 42021.|Informazioni relative alle persone ammesse e alla procedura di apertura:|Sono ammessi ad assistere alla seduta i legali rappresentanti dei concorrenti, ovvero i soggetti, muniti di |specifica delega in carta libera loro conferita dai suddetti rappresentanti.";"2016-07-19"
"2017-OJS098-194546-it.pdf";"2017194546";"";"-1"
"2018-OJS176-399089-it.pdf";"2018399089";"Data: 16/10/2018|Ora locale: 10:00";"-1"
"2017-OJS130-266430-it.pdf";"2017266430";"";"-1"
"2017-OJS044-081472-it.pdf";"201781472";"Data: 6.4.2017 - 9:00|Luogo:|Via N. Tommaseo 60 — Padova.|Persone ammesse ad assistere all'apertura delle offerte: sì|Informazioni complementari sulle persone ammesse e la procedura di apertura: Si rinvia al disciplinare di gara |di cui alla successiva sez. VI.3).";"06.04.2017"
"2018-OJS135-308355-it.pdf";"2018308355";"Data: 19/09/2018|Ora locale: 09:30|Luogo:|C/o Centro Polivalente Il Melograno – Via Brera 31 – Cornaredo|Informazioni relative alle persone ammesse e alla procedura di apertura:|Sono ammesse ad assistere all’apertura delle offerte i rappresentanti legali degli operatori economici |partecipanti alla gara o suoi incaricati muniti di idonea delega.";"2018-09-19"
